"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Attempting to create an expense without required fields and validation the server returns an error","26","BUG: API_09: Negative - Create Expense with Missing Fields","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Creates an expense, sends the app to background for 3 seconds, returns to foreground, and verifies the expense data is still visible. Tests data persistence in memory.","24552","Persistence: Data survives app background and foreground cycle","tests.mobile","2026-05-10","broken","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Creates an expense with a negative amount (-50) on the Web UI. The UI accepts it (bug). Then attempts to INSERT the extracted data into MySQL, which rejects it via CHECK (amount >= 0) constraint.","6146","E2E Negative: Web UI accepts negative amount → MySQL blocks INSERT","tests","2026-05-10","passed","2026-05-10","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"GET a single expense by ID and verify status code","10","API_04: Get Single Expense by ID (Status 200)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Opens keyboard via name field, fills text, hides keyboard, then verifies the amount field is still accessible. Tests mobile UI stability.","24541","UI: Verify keyboard does not block input fields","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Data-Driven Testing: parametrized test that creates 4 different expenses from external JSON file. Each combination runs as a separate test case.","13454","DDT: Create multiple expenses from JSON data","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Reads a complete record from SQLite and injects it into the expense tracker website.","5526","Web & DB: Inject full DB data to Web UI","tests.web","2026-05-10","passed","2026-05-10","TestDBWeb","test_db_web_expense","",""
"Creates a temporary expense, confirms it appears in the list, deletes it via the delete button, and verifies it is no longer visible.","44291","CRUD: Delete expense and verify it is removed from the list","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5287","Create multiple expenses via DDT","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"send POST request to create a new expense and verify the response and status code.","21","API_02: Create New Expense (Status 201)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Edge case: verifies app behavior when amount is 0. A zero-amount expense may or may not be valid depending on business rules.","40922","Boundary: Create expense with zero amount","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Attempt to access an API address that does not exist and appropriate error validation.","10","API_10: Negative - Bad Route / Endpoint","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
